geneID	20140523_cont-1	20140523_cont-2	20140523_cont-3	20140523_SymA1-1	20140523_SymA1-2	20140523_SymA1-3	20140523_SymA2-1	20140523_SymA2-2	20140523_SymA2-3	20140523_SymA3-1	20140523_SymA3-2	20140523_SymA3-3	20140527_cont-1	20140527_cont-2	20140527_cont-3	20140527_SymA1-1	20140527_SymA1-2	20140527_SymA1-3	20140527_SymA2-1	20140527_SymA2-2	20140527_SymA2-3	20140527_SymA3-1	20140527_SymA3-2	20140527_SymA3-3	20140531_cont-1	20140531_cont-2	20140531_cont-3	20140531_SymA1-1	20140531_SymA1-2	20140531_SymA1-3	20140531_SymA2-1	20140531_SymA2-2	20140531_SymA2-3	20140531_SymA3-1	20140531_SymA3-2	20140531_SymA3-3
aten_s0001.g1.t1	52.56150003	60.05988132	47.68939064	34.63969253	53.78113815	53.62036038	51.28065098	47.08322925	46.84807214	45.016447	51.97374525	47.0150489	42.27758317	51.90370428	63.94792461	62.10224454	50.98850894	62.16135805	55.63446029	72.0991963	41.48394457	58.04524042	44.63863664	78.83724679	77.99257951	57.59652673	79.17660628	61.03312081	52.38961067	51.66853799	67.00938799	38.47231063	46.52284182	59.18281882	66.60828901	51.17089711
aten_s0001.g10.t1	285.8481577	264.8794766	282.7299588	242.9835983	228.8000357	253.8030391	259.5589873	269.0470243	251.8083878	191.3198997	222.5261364	257.463363	253.665499	281.4991386	221.4781779	259.0317305	272.5247892	252.1639996	281.1527189	253.3215005	238.5326813	214.9587475	201.4770897	225.8990341	265.0303396	252.5919968	241.4237503	234.4956747	234.7460868	246.5998404	207.5129435	252.8180413	213.2296917	236.7312753	255.9554477	194.808503
aten_s0001.g100.t1	11257.52127	10985.56829	9663.914375	12645.94638	11403.39378	12075.30516	11019.81743	11903.08877	11015.15296	13319.86648	10530.91916	11864.95655	13278.68425	11983.63078	10921.05776	13402.64493	13232.39718	14811.99605	15904.50133	13808.94472	14574.69253	13895.13755	12513.29566	9017.768152	12260.72236	12140.37633	12064.69763	12070.63809	12910.15886	14123.12515	12749.07646	14406.50632	12817.04292	12974.02867	11552.4219	10797.95703
aten_s0001.g101.t1	281.8047319	300.3906621	403.6566279	183.816629	144.202115	262.3467955	222.5705838	456.3674673	363.2313709	282.8690369	303.0440489	238.8774976	243.4206378	231.2583918	174.8490485	164.3479329	172.3593843	254.6449742	235.5266787	140.3011387	222.5516901	229.0556303	266.7618357	166.2467503	229.0498633	160.3967805	352.031897	303.1828953	228.7743618	164.5727492	282.0879075	256.9887013	227.9339716	242.748376	116.0767043	100.6293635
aten_s0001.g102.t1	927.3864662	876.2582684	863.5186091	785.1070041	876.3041366	888.9064187	826.8018804	856.4663607	808.1292444	840.3070106	890.1045456	830.5991972	877.2598507	1003.836551	938.1628452	912.7395678	900.2109165	924.2103801	986.5181976	881.7536845	895.3618036	864.3000084	866.2308408	983.949484	814.5891638	841.0480771	857.9628975	796.64284	884.6774168	826.6966078	835.4557568	835.398745	768.5961159	783.8114785	750.652965	800.779653
aten_s0001.g103.t1	33.84096577	36.18992848	40.87662055	26.99817758	28.60000446	22.63970772	26.82372513	38.11499511	42.16326493	43.76599014	47.63101247	36.56726025	22.90035755	34.52347926	26.51499313	34.31966146	31.64804003	31.66710693	36.75848269	32.1523443	29.96062663	31.25512946	37.39993881	29.56396755	30.33044759	22.20588982	33.74740595	26.76891263	28.90530174	32.87997872	39.98947348	24.73219969	38.76903485	38.97405142	37.42038709	23.34111096
aten_s0001.g104.t1	2008.137309	2152.915746	1880.324545	1995.705287	2149.576335	2167.454123	2007.045786	2061.572824	2193.660978	2050.749252	1964.03503	1826.870471	2108.59446	2143.111366	2191.386197	1975.831938	2445.690205	2254.228871	2241.273972	2863.507269	2153.708122	2020.101939	2136.622311	2218.055617	2003.253848	2110.947401	2165.02589	2116.885611	2148.627429	2269.892817	2216.713787	2206.661817	2284.465379	2183.990363	2260.19138	2098.006782
aten_s0001.g105.t1	795.6227059	792.3284343	849.893069	840.1832864	831.6881297	768.5584988	825.2240142	775.7522534	785.8764102	877.8207164	917.6412247	841.0469858	732.8114416	816.613067	722.1436364	872.6999628	843.9477342	901.9261197	827.5625968	722.9405899	836.5928822	884.0736618	851.7534451	742.8894409	936.6331076	805.6574402	763.2105654	912.2845426	872.4145615	981.7022218	841.9405362	956.3117213	870.3648324	1102.821307	1099.410973	936.3376436
aten_s0001.g106.t1	480.9737263	471.2390688	453.0492111	474.0879984	418.7040653	453.9857179	448.1139962	467.4692047	436.8582727	438.9103582	383.2808035	409.7025689	452.7224531	480.6730573	434.3779757	462.4982949	478.2370494	459.7594784	483.82111	480.3365375	447.1047359	408.2302623	430.7025211	347.1871061	449.9016392	442.7299284	441.3122317	416.5242806	417.8129978	423.9168685	390.1675656	438.3095389	468.1360958	415.7232151	407.8822192	389.6170061
